## buffer-commands
Close buffer                         | <leader>c
Close all buffers except current     | <leader>bc
Close all buffers                    | <leader>bC
Close all buffers to the right       | <leader>br
Close all buffers to the left        | <leader>bl
Force close buffer                   | <leader>C
Next buffer                          | <C-n>, <leader>bn
Previous buffer                      | <C-p>, <leader>bp
Select buffer with letters           | <leader>bb
Close buffer with letters            | <leader>bd
Horizontal split buffer from tabs    | <leader>b\
Vertical split buffer from tabline   | <leader>b|
##copy-paste
Copy to system clipboard             | <leader>y, <D-c>
Paste from system clipboard          | <leader>pp, <D-v>
Copy line to system clipboard        | <leader>Y
Delete without yanking               | <leader>d
Delete rest of line without yanking  | <leader>D
Don't lose yank when pasting         | <leader>pp
##in-visual
Move highlighted line up             | K
Move highlighted line down           | J
##harpoon
Add file to harpoon                  | <leader>ha
Open harpoon list                    | <leader>hl
Open harpoon files in telescope      | <leader>ht
Go to harpoon mark 1                 | <C-m>
Go to harpoon mark 2                 | <C-,>
Go to harpoon mark 3                 | <C-.>
Go to harpoon mark 4                 | <C-/>
##surround
Add surrounding pair around motion                       | ys[motion][char]
Add surrounding pair around current line                 | yss[char] 
Add surrounding pair around motion (w/ new line)         | yS[motion][char]
Add surrounding pair around current line (w/ new line)   | ySS[motion][char]
Add surrounding pair around visual                       | [visual]S
Add surrounding pair around visual (w/ new line)         | [visual]gS
Change selected surrounding pair                         | cs[old][new]
Change selected surrounding pair (add new line)          | cs[old][new]
Delete selected surrounding pair                         | ds[pair]
Possible surrounding pairs                               | (, {, [, <, ', ", `
Other Surrounding options                                | t (html tag), f (function)
Surround alias < >                                       | a
Surround alias ( )                                       | p
Surround alias { }                                       | c
Surround alias [ ]                                       | b
Surround alias " ' `                                     | q
Surround alias any (no func/tag)                         | s
##LazyGit
Open LazyGit                         | <leader>gg
Open LazyGit for current file        | <leader>gf
##Sessions
Save current session                 | <leader>Ss
Load last session                    | <leader>Sl
Delete session                       | <leader>Sd
Search and load session              | <leader>Sf
Load current directory session       | <leader>S.
##select-and-swap
Select outer part of assignment      | a=
Select inner part of assignment      | i=
Select right part of assignment      | r=
Select left part of assignment       | l=
Select outer part of a method        | am
Select inner part of a method        | im
Select around conditional            | ai
Select inside conditional            | ii
Swap parameter/argument with next    | <leader>na
Swap method/function with next       | <leader>nm
Swap parameter/argument with previous| <leader>na
Swap method/function with previous   | <leader>nm
##telescope_(search)
Resume previous search               | <leader>f<CR>
Find files                           | <leader>ff
Find all files                       | <leader>fF
Find words                           | <leader>fw
Find words in all files              | <leader>fW
Find word under cursor               | <leader>fc
Find words in current buffer         | <leader>f/
Find buffers                         | <leader>fb
Find commands                        | <leader>fC
Find help                            | <leader>fh
Find keymaps                         | <leader>fk
Find man                             | <leader>fm
Find notifications                   | <leader>fn
Find history                         | <leader>fo
Find registers                       | <leader>fr
Find themes                          | <leader>ft
Find marks                           | <leader>f'
##toggle-terminal
Toggle term node                     | <leader>tn
Toggle term gdu                      | <leader>tu
Toggle term python                   | <leader>tp
Toggle term float                    | <leader>tf
Toggle term horizontal split         | <leader>th
Toggle term vertical split           | <leader>tv
Toggle terminal                      | <C-'>, <F7>
##Debugger
Debugger: Start/Continue             | <leader><leader>c
Debugger: Stop/Terminate Session     | <leader><leader>s
Debugger: Conditional Breakpoint     | <leader><leader>C
Debugger: Restart                    | <leader><leader>r
Debugger: Pause                      | <leader><leader>p
Debugger: Toggle Breakpoint          | <leader><leader>b
Debugger: Clear Breakpoints          | <leader><leader>B
Debugger: Step Into                  | <leader><leader>i
Debugger: Step Over                  | <leader><leader>o
Debugger: Step Out                   | <leader><leader>u
Debugger: Close Session              | <leader><leader>q
Debugger: Toggle REPL                | <leader><leader>t
Debugger: Run To Cursor              | <leader><leader>R
Debugger: Evalute Input              | <leader><leader>e
Debugger: Toggle UI                  | <leader><leader>u
Debugger: Hover                      | <leader><leader>h
##Folds
Toggle Folding                       | zi
Toggle Fold Under Cursor             | za
Toggle All Folds Under Cursor        | zA
Open Fold Under Cursor               | zo
Open All Folds Under Cursor          | zO
Close Fold Under Cursor              | zc
Close All Folds Under Cursor         | zC
Fold More                            | zm
Close All Folds                      | zM
Fold Less                            | zr
Open All Folds                       | zR
Peek Fold                            | zp
##UI-Options
Toggle autopairs                     | ua
Toggle background                    | ub
Toggle autocompletion                | uc
Toggle color highlight               | uC
Toggle diagnostics                   | ud
Toggle signcolumn                    | ug
Change indent setting                | ui
Toggle status line                   | ul
Toggle CodeLens                      | uL
Change line numbering                | un
Toggle notifications                 | uN
Toggle paste mode                    | up
Toggle spellcheck                    | us
Toggle conceal                       | uS
Toggle tabline                       | ut
Toggle URL highlight                 | uu
Toggle wrap                          | uw
Toggle syntax highlighting (buffer)  | uy
Toggle foldcolumn                    | uh
## edit-vim
Back to normal mode                  | <Esc>
Cancel command/operation             | <C-c>
Insert at cursor pos.                | i
Append after cursor                  | a
Insert at start of line              | I
Append at end of line                | A
Open new line below                  | o
Open new line above                  | O
Replace character with {c}           | r{c}
Replace mode/overwrite               | R
Change                               | c
Replace line                         | cc
Repeat last command                  | .
Undo                                 | u
Redo                                 | <C-r>
Next text state                      | g+
Prev text state                      | g-
Cut                                  | d
Cut into register {r}                | "{r}d
Cut into OS clipboard                | "*d
Cut {n} lines                        | {n}dd
Cut until EOL                        | D
Cut {n} characters forward
Cut {n} characters backwards         | {n}X
Cut all                              | :%d
Copy                                 | y
Copy into register {r}               | "{r}y
Copy into OS clipboard               | "*y
Copy {n} lines                       | {n}yy
Copy until EOL                       | y$
Copy all                             | :%y
Paste after cursor                   | p
Paste before cursor                  | P
Paste from register {r}              | "{r}p
Paste from register {r}              | <C-r>{r}
Paste from OS clipboard              | "*p
Paste after and align                | ]p
Paste before and align               | ]P
Visual mode (select)                 | v
Linewise visual mode                 | V
Block visual mode                    | <C-v>
Insert in selected lines             | <C-v>{Move}I
Append to selected lines             | <C-v>{Move}A
Change in selected lines             | <C-v>{Move}c
Delete in selected lines             | <C-v>{Move}x
Reselect visual                      | gv
Select all                           | ggVG
Record macro into register {r}       | q{r}
Stop recording macro                 | q
Run recorded macro in register {r}   | @{r}
Repeat last macro                    | @@
Repeat last Ex command               | @:
Run {Cmd} in all buffers             | :bufdo {Cmd}

## text-objects-vim
Around word                          | aw
Inside word                          | iw
Around WORD                          | aW
Inside WORD                          | iW
Around sentence                      | as
Inside sentence                      | is
Around paragraph                     | ap
Inside paragraph                     | ip
Around parentheses                   | a( , ab
Inside parentheses                   | i( , ib
Around brackets                      | a[
Inside brackets                      | i[
Around braces                        | a{ , aB
Inside braces                        | i{ , iB
Around (XML) tags                    | at
Inside (XML) tags                    | it
Around < and >                       | a<
Inside < and >                       | i<
Around double quotes                 | a"
Inside double quotes                 | i"
Around simple quotes                 | a'
Inside simple quotes                 | i'
Around backticks                     | a`
Inside backticks                     | i`

## text-manipulation-vim
Change to uppercase                  | gU
Change to lowercase                  | gu
Uppercase line                       | gUU
Lowercase line                       | guu
Change to uppercase                  | U
Change to lowercase                  | u
Toggle case                          | ~
Indent (. to repeat)                 | >
Unindent (. to repeat)               | <
Reindent                             | =
Indent line (. repeats)              | >>
Unindent (. repeats)                 | <<
Reindent line                        | ==
Indent line (insert mode)            | <C-t>
Unindent line (insert mode)          | <C-d>
Hard-wrap (cursor moves)             | gq
Hard-wrap (cursor stays)             | gw
Format current line                  | gww
Join with next line                  | J
